"제목","content"
"171220-jazz-style-piano-20557","솔로 피아노, 솔로 악기, 전통 재즈, 카페, 매력적인, 느긋한, 밝은, 편안한, 우아한, 중간 빠름, 달리기, 매끄러운, 비디오 음악, Youtube 동영상 용 음악, "
"171221-jazz-style-piano-day-happy-love-life-20558","솔로 피아노, 솔로 악기, 전통 재즈, 카페, 매력적인, 느긋한, 밝은, 편안한, 매끄러운, 우아한, 중간, 떠 있는, 비디오 음악, Youtube 동영상 용 음악, 배경 음악, "
"18012502-piano-prank-mischeif-ghost-trick-strange-143426","무서운 어린이 곡, 솔로 피아노, 황 당, 불안, 서 스 펜스, 재미있는, 신비한, 몰이, 우아한, 중간, 달리기, 영화 음악, 배경 음악, "
"190117-chill-japan-calm-simple-nostalgic-143427","메인 타이틀, 아름다운 연극, 솔로 피아노, 작은 감정, 현대 고전, 꿈꾸는 듯한, 밝은, 편안한, 평화로운, 유망한, 감상, 떠 있는, 우아한, 중간, 배경 음악, 영화 음악, 영화 음악, "
"2-islamic-background-sounds-alfa-relaxing-music-126056","종교 테마, 세계, 보컬, 명상 영적, 꿈꾸는 듯한, 밝은, 유망한, 감상, 편안한, 떠 있는, 중간, 배경 음악, "
"39walk-with-you39-by-2sonmoa-10047","비트, 얼터너티브 힙합, Rnb, 꿈꾸는 듯한, 느긋한, 밝은, 편안한, 평화로운, 떠 있는, 중간, 매끄러운, 비디오 음악, Youtube 동영상 용 음악, 동영상 블로그 음악, 배경 음악, 팟 캐스트 음악, "
"50s-swing-music-13480","포도 수확, 보드빌 및 버라이어티 쇼, 카페, 매력적인, 밝은, 편안한, 느긋한, 우아한, 매끄러운, 중간, "
"8-bit-dream-land-142093","비디오 게임, 상승 기조, 전자, 고양, 밝은, 불안, 꿈꾸는 듯한, 유망한, 황 당, 몰이, 달리기, 우아한, 빠른, "
"a-creepy-music-115228","비 열 한, 범죄 현장, 무서운 어린이 곡, 코메디, 메인 타이틀, 만화, 신비한, 서 스 펜스, 황 당, 매력적인, 재미있는, 밝은, 몰래, 중간, 우아한, 영화 음악, 영화 음악, 비디오 음악, "
"a-day-in-africa-130423","상승 기조, 전자, 불안, 느긋한, 밝은, 황 당, 고양, 몰이, 중간, 떠 있는, "
"a-hero-of-the-80s-126684","신디 웨이브, 비디오 게임, 상승 기조, 전자, 신스 팝, 추격 장면, 메인 타이틀, 정력적 인, 서 스 펜스, 불안, 밝은, 고양, 유망한, 황 당, 몰이, 달리기, 빠른, 비디오 음악, Youtube 동영상 용 음악, 동영상 블로그 음악, 영화 음악, 배경 음악, "
